x,y,v0_first,sigma_v0
6.987932000500520324e+00,4.999999999999999899e-13,4.883119364361920844e+01,1.000013097461010377e-12
1.041711854737936527e+01,4.999999999999999899e-13,1.085163588301551840e+02,1.000020212542668197e-12
1.369802315324924891e+01,4.999999999999999899e-13,1.876358383069525075e+02,1.000005591968111373e-12
1.692362128521383724e+01,4.999999999999999899e-13,2.864089574053429033e+02,1.000019205032773800e-12
2.012180617445381969e+01,4.999999999999999899e-13,4.048870837222877981e+02,1.000012066502601853e-12
2.330424698893964930e+01,4.999999999999999899e-13,5.430879277215027514e+02,1.000016185150530022e-12
2.647676366453912777e+01,4.999999999999999899e-13,7.010190141478594796e+02,1.000011751677947280e-12
2.964260454031580849e+01,4.999999999999999899e-13,8.786840039335514803e+02,1.000014729979995236e-12
3.280373238519610624e+01,4.999999999999999899e-13,1.076084858399563927e+03,1.000018039115473126e-12
3.596140580470903103e+01,4.999999999999999899e-13,1.293222707450960570e+03,1.000009635213595127e-12
3.911647019027153505e+01,4.999999999999999899e-13,1.530098240146401395e+03,1.000011400055281249e-12
4.226951497778116362e+01,4.999999999999999899e-13,1.786711896456866043e+03,1.000013311952386634e-12
4.542096397225621018e+01,4.999999999999999899e-13,2.063063968168996325e+03,1.000015370906241719e-12
4.857112985163177399e+01,4.999999999999999899e-13,2.359154655064075541e+03,1.000009887054067894e-12
5.172024843038786912e+01,4.999999999999999899e-13,2.674984097701038991e+03,1.000019929986016300e-12
5.486850095750077827e+01,4.999999999999999899e-13,3.010552397323263904e+03,1.000022430111725770e-12
5.801602906410052896e+01,4.999999999999999899e-13,3.365859628366557445e+03,1.000025077294007225e-12
6.116294504481404459e+01,4.999999999999999899e-13,3.740905846554943309e+03,1.000015677832395403e-12
6.430933909067049115e+01,4.999999999999999899e-13,4.135691094278839955e+03,1.000017332330947839e-12
6.745528447980281328e+01,4.999999999999999899e-13,4.550215404251126529e+03,1.000019069550643263e-12
7.060084136923653375e+01,4.999999999999999899e-13,4.984478802044100121e+03,1.000009284272165241e-12
7.374605960919264191e+01,4.999999999999999899e-13,5.438481307882593683e+03,1.000015827938533506e-12
7.689098086207911820e+01,4.999999999999999899e-13,5.912222937932618152e+03,1.000011012312743228e-12
8.003564021885212298e+01,4.999999999999999899e-13,6.405703705241539865e+03,1.000018642877683961e-12
8.318006744667570729e+01,4.999999999999999899e-13,6.918923620433520227e+03,1.000020136515262779e-12
8.632428796248731828e+01,4.999999999999999899e-13,7.451882692230433349e+03,1.000021687597873055e-12
8.946832360029232234e+01,4.999999999999999899e-13,8.004580927846624036e+03,1.000008386667617172e-12
9.261219322147185551e+01,4.999999999999999899e-13,8.577018333291236559e+03,1.000015975813982793e-12
9.575591320436612364e+01,4.999999999999999899e-13,9.169194913602097586e+03,1.000017078810588177e-12
9.889949784012185319e+01,4.999999999999999899e-13,9.781110673028268138e+03,1.000018218572394059e-12
1.020429596551069267e+02,4.999999999999999899e-13,1.041276561517378104e+04,1.000010909789632276e-12
1.051863096753171476e+02,4.999999999999999899e-13,1.106415974311171885e+04,1.000011592272267087e-12
1.083295576446031845e+02,4.999999999999999899e-13,1.173529305947540342e+04,1.000021858447799374e-12
1.114727122058661024e+02,4.999999999999999899e-13,1.242616556653184853e+04,1.000013019279823140e-12
1.146157810523543930e+02,4.999999999999999899e-13,1.313677726624124080e+04,1.000024468855092498e-12
1.177587710546670365e+02,4.999999999999999899e-13,1.386712816030548674e+04,1.000014529010145037e-12
1.209016883678966821e+02,4.999999999999999899e-13,1.461721825020800316e+04,1.000015314896231096e-12
1.240445385224458335e+02,4.999999999999999899e-13,1.538704753724654802e+04,1.000007165126696359e-12
1.271873265013476697e+02,4.999999999999999899e-13,1.617661602256041442e+04,1.000016948710016551e-12
1.303300568063757225e+02,4.999999999999999899e-13,1.698592370715312063e+04,1.000031638247912907e-12
1.334727335147945269e+02,4.999999999999999899e-13,1.781497059191135122e+04,1.000018665245620510e-12
1.366153603282623124e+02,4.999999999999999899e-13,1.866375667762094599e+04,1.000019554533974399e-12
